Hour of Day,Users,Sessions,Total Events
2016021111,27,26,1090
2016021112,34,33,1909
2016021113,29,29,1292
2016021114,28,27,1219
2016021115,39,37,1734
2016021116,29,24,1593
2016021117,32,32,1598
2016021118,15,15,1023
2016021119,17,16,705
2016021120,10,10,205
2016021121,11,11,170
2016021122,11,12,63
2016021123,2,1,19
2016021201,2,2,370
2016021202,1,1,4
2016021204,2,2,7
2016021205,6,6,130
2016021206,9,9,117
2016021207,15,13,203
2016021208,38,37,1791
2016021209,46,45,2513
2016021210,45,44,2057
2016021211,30,33,1634
2016021212,29,29,1827
2016021213,29,26,1105
2016021214,27,24,1526
2016021215,35,35,1312
2016021216,21,19,521
2016021217,30,29,1698
2016021218,18,16,1548
2016021219,12,11,340
2016021220,13,13,183
2016021221,13,13,326
2016021222,7,6,58
2016021223,6,6,138
2016021300,5,5,90
2016021301,2,2,57
2016021304,2,2,50
2016021305,6,6,66
2016021306,12,12,206
2016021307,21,19,655
2016021308,27,27,1187
2016021309,32,28,1229
2016021310,37,34,2106
2016021311,21,19,694
2016021312,18,18,1190
2016021313,12,12,539
2016021314,15,13,306
2016021315,18,17,552
2016021316,30,29,1291
2016021317,27,24,1266
2016021318,12,11,926
2016021319,15,13,608
2016021320,10,9,313
2016021321,12,11,262
2016021322,6,6,45
2016021323,6,6,124
2016021400,4,4,58
2016021401,1,1,41
2016021403,1,1,24
2016021405,2,2,7
2016021406,6,6,136
2016021407,13,13,308
2016021408,17,16,650
2016021409,26,26,1150
2016021410,34,29,1527
2016021411,35,35,1846
2016021412,16,15,672
2016021413,21,19,1117
2016021414,19,19,912
2016021415,10,10,1029
2016021416,22,22,1011
2016021417,32,33,1323
2016021418,22,21,1956
2016021419,9,9,284
2016021420,12,13,381
2016021421,12,10,352
2016021422,9,9,56
2016021423,7,7,381
2016021500,9,9,104
2016021501,1,1,22
2016021502,2,2,5
2016021505,11,11,100
2016021506,11,9,593
2016021507,32,30,882
2016021508,41,40,2231
2016021509,44,40,1989
2016021510,44,38,2836
2016021511,39,35,2093
2016021512,27,27,1757
2016021513,29,27,1623
2016021514,23,21,1810
2016021515,35,34,1579
2016021516,34,33,2332
2016021517,27,23,1730
2016021518,27,27,1058
2016021519,18,15,331
2016021520,13,13,325
2016021521,15,15,680
2016021522,6,6,30
2016021523,9,9,163
2016021600,4,5,44
2016021601,2,1,177
2016021602,4,4,94
2016021603,2,2,24
2016021604,6,6,69
2016021605,9,9,116
2016021606,10,7,175
2016021607,17,17,676
2016021608,39,37,1707
2016021609,32,30,1629
2016021610,35,32,1459
2016021611,28,26,1016
2016021612,26,24,1611
2016021613,28,28,1266
2016021614,30,28,860
2016021615,26,21,1191
2016021616,28,27,990
2016021617,39,37,1353
2016021618,26,22,1724
2016021619,15,13,1341
2016021620,11,10,326
2016021621,10,10,298
2016021622,12,12,206
2016021623,9,9,261
2016021700,6,6,90
2016021701,1,1,112
2016021702,5,4,39
2016021704,1,1,4
2016021705,9,10,108
2016021706,13,12,352
2016021707,33,30,2121
2016021708,76,74,3968
2016021709,114,110,5708
2016021710,106,102,4966
2016021711,112,105,5827
2016021712,91,79,3793
2016021713,86,84,5197
2016021714,76,67,3607
2016021715,86,82,5462
2016021716,104,95,6041
