Date,Sessions
20170108,5746
20170109,6528
20170110,9228
20170111,8123
20170112,7473
20170113,3751
20170114,1816
20170115,1466
20170116,1708
20170117,2006
20170118,5418
20170119,5756
20170120,6166
20170121,3429
20170122,9025
20170123,6091
20170124,2810
20170125,1966
20170126,1732
20170127,1299
20170128,824
20170129,771
20170130,1088
20170131,1357
20170201,1377
20170202,2308
20170203,3431
20170204,1602
20170205,1484
20170206,3493
20170207,3540
20170208,2847
20170209,4250
20170210,4698
20170211,2284
20170212,1846
20170213,2112
20170214,1775
20170215,1955
20170216,2677
20170217,3836
20170218,2133
20170219,2348
20170220,4866
20170221,5844
20170222,4612
20170223,3381
20170224,2328
20170225,1707
20170226,1455
20170227,2242
20170228,1593
20170301,1262
20170302,1009
20170303,1005
20170304,1506
20170305,4576
20170306,4824
20170307,2239
20170308,1291
20170309,1182
20170310,1033
20170311,561
20170312,544
20170313,833
20170314,803
20170315,815
20170316,814
20170317,715
20170318,508
20170319,519
20170320,922
20170321,1807
20170322,1737
20170323,947
20170324,2532
20170325,895
20170326,918
20170327,1303
20170328,824
20170329,805
20170330,1701
20170331,875
20170401,469
20170402,433
20170403,671
20170404,635
20170405,639
20170406,1661
20170407,2763
20170408,1752
20170409,744
20170410,799
20170411,914
20170412,973
20170413,2194
20170414,1225
20170415,495
20170416,750
20170417,1066
20170418,1109
20170419,642
20170420,747
20170421,692
20170422,411
20170423,398
20170424,1039
20170425,795
20170426,798
20170427,664
20170428,651
20170429,412
20170430,371
20170501,606
20170502,508
20170503,510
20170504,561
20170505,567
20170506,775
20170507,603
20170508,552
20170509,487
20170510,481
20170511,572
20170512,687
20170513,353
20170514,411
20170515,558
20170516,804
20170517,765
20170518,777
20170519,748
20170520,297
20170521,285
20170522,504
20170523,524
20170524,593
20170525,666
20170526,526
20170527,325
20170528,276
20170529,419
20170530,464
20170531,548
20170601,402
20170602,411
20170603,255
20170604,268
20170605,438
20170606,403
20170607,440
20170608,589
20170609,522
20170610,336
20170611,795
20170612,1067
20170613,538
20170614,464
20170615,481
20170616,472
20170617,288
20170618,432
20170619,519
20170620,486
20170621,461
20170622,535
20170623,496
20170624,292
20170625,293
20170626,513
20170627,480
20170628,499
20170629,435
20170630,469
20170701,315
20170702,306
20170703,519
20170704,458
20170705,591
20170706,614
20170707,518
20170708,335
20170709,359
20170710,962
20170711,1553
20170712,818
20170713,466
20170714,568
20170715,286
20170716,312
20170717,471
20170718,458
20170719,599
20170720,539
20170721,465
20170722,277
20170723,328
20170724,547
20170725,561
20170726,485
20170727,392
20170728,393
20170729,262
20170730,262
20170731,409
20170801,488
20170802,500
20170803,500
20170804,415
20170805,314
20170806,308
20170807,438
20170808,396
20170809,415
20170810,428
20170811,368
20170812,220
20170813,283
20170814,348
20170815,353
20170816,403
20170817,586
20170818,750
20170819,618
20170820,595
20170821,1182
20170822,679
20170823,502
20170824,436
20170825,402
20170826,279
20170827,275
20170828,453
20170829,479
20170830,594
20170831,615
20170901,573
20170902,365
20170903,441
20170904,659
20170905,794
20170906,670
20170907,680
20170908,596
20170909,335
20170910,268
20170911,500
20170912,560
20170913,508
20170914,517
20170915,489
20170916,289
20170917,253
20170918,535
20170919,509
20170920,631
20170921,1355
20170922,889
20170923,320
20170924,270
20170925,404
20170926,448
20170927,475
20170928,461
20170929,427
20170930,260
20171001,271
20171002,485
20171003,518
20171004,433
20171005,394
20171006,401
20171007,208
20171008,309
20171009,930
20171010,679
20171011,674
20171012,711
20171013,640
